languages_game,languages_CN,languages_TC,languages_EN
8万,8万,8萬,
16万,16万,16萬,
顾客随机选择{1~3}个装饰参观顺序以装饰物的，参观顺序随机。,顾客随机选择{1~3}个装饰参观顺序以装饰物的，参观顺序随机。,顧客隨機選擇{1~3}個裝飾參觀順序以裝飾物的，參觀順序隨機。,
随机选择1个室内装饰，直接走到该装饰处完成参观后离开。,随机选择1个室内装饰，直接走到该装饰处完成参观后离开。,隨機選擇1個室內裝飾，直接走到該裝飾處完成參觀後離開。,
货架有顾客购买的装备时，随机选择1~2室内装饰物，先参观装饰物，最后去往货架选择道具后购买产品。,货架有顾客购买的装备时，随机选择1~2室内装饰物，先参观装饰物，最后去往货架选择道具后购买产品。,貨架有顧客購買的裝備時，隨機選擇1~2室內裝飾物，先參觀裝飾物，最後去往貨架選擇道具後購買產品。,
货架有货状态，顾客直接走到自己需要购买的货架购买商品，并有一定概率跳出aitalk。,货架有货状态，顾客直接走到自己需要购买的货架购买商品，并有一定概率跳出aitalk。,貨架有貨狀態，顧客直接走到自己需要購買的貨架購買商品，並有一定概率跳出aitalk。,
随机选择1个室内装饰，并走到自己的目标货架，选择完毕后到柜台。途中每到1处弹出一次aitalk,随机选择1个室内装饰，并走到自己的目标货架，选择完毕后到柜台。途中每到1处弹出一次aitalk,隨機選擇1個室內裝飾，並走到自己的目標貨架，選擇完畢後到櫃臺。途中每到1處彈出一次aitalk,
随机选择1~3个柜台闲逛，当发现有空柜台时弹aitalk，只出现1次，最终走到自己的需要购买的道具柜台。,随机选择1~3个柜台闲逛，当发现有空柜台时弹aitalk，只出现1次，最终走到自己的需要购买的道具柜台。,隨機選擇1~3個櫃臺閑逛，當發現有空櫃臺時彈aitalk，只出現1次，最終走到自己的需要購買的道具櫃臺。,
随机选择多个柜台（1~3个随机)闲逛，当逛到最后一个货架时（没有自己需要的货），吐槽并离开,随机选择多个柜台（1~3个随机)闲逛，当逛到最后一个货架时（没有自己需要的货），吐槽并离开,隨機選擇多個櫃臺（1~3個隨機)閑逛，當逛到最後一個貨架時（沒有自己需要的貨），吐槽並離開,
直接走向宠物并观赏，观赏时弹出aitalk，而后购买自己需要的装备。只在观赏宠物时弹aitalk,直接走向宠物并观赏，观赏时弹出aitalk，而后购买自己需要的装备。只在观赏宠物时弹aitalk,直接走向寵物並觀賞，觀賞時彈出aitalk，而後購買自己需要的裝備。只在觀賞寵物時彈aitalk,
条件：店铺内有1宠物+1装饰。顾客先观赏宠物+装饰各1次，然后去到自己购买的货架购买。宠物处会出现1次aitalk,条件：店铺内有1宠物+1装饰。顾客先观赏宠物+装饰各1次，然后去到自己购买的货架购买。宠物处会出现1次aitalk,條件：店鋪內有1寵物+1裝飾。顧客先觀賞寵物+裝飾各1次，然後去到自己購買的貨架購買。寵物處會出現1次aitalk,
有空货架时，行走至空货架附近空地后，站立并停止。,有空货架时，行走至空货架附近空地后，站立并停止。,有空貨架時，行走至空貨架附近空地後，站立並停止。,
常规状态（无视是否有空货架）闲逛后在空地站立并停止。,常规状态（无视是否有空货架）闲逛后在空地站立并停止。,常規狀態（無視是否有空貨架）閑逛後在空地站立並停止。,
店主闲逛后站立行走至空货架旁站立并停止。,店主闲逛后站立行走至空货架旁站立并停止。,店主閑逛後站立行走至空貨架旁站立並停止。,
店主闲逛后站立在空第站立并停止。,店主闲逛后站立在空第站立并停止。,店主閑逛後站立在空第站立並停止。,
店主走到宠物处停留并说话。说完话后原地停留。,店主走到宠物处停留并说话。说完话后原地停留。,店主走到寵物處停留並說話。說完話後原地停留。,
回复生命根据已损失生命按一定百分比回复,回复生命根据已损失生命按一定百分比回复,回復生命根據已損失生命按一定百分比回復,
恢复生命根据生命上限一定百分比回复,恢复生命根据生命上限一定百分比回复,恢復生命根據生命上限一定百分比回復,
击杀回复血量，根据自身已损失血量按一定百分比回复,击杀回复血量，根据自身已损失血量按一定百分比回复,擊殺回復血量，根據自身已損失血量按一定百分比回復,
根据释放者的攻击力提升一定百分比护甲,根据释放者的攻击力提升一定百分比护甲,根據釋放者的攻擊力提升一定百分比護甲,
根据释放者的生命上限提升一定百分比护甲,根据释放者的生命上限提升一定百分比护甲,根據釋放者的生命上限提升一定百分比護甲,
攻击提升一定百分比增加,攻击提升一定百分比增加,攻擊提升一定百分比增加,
根据生命损失的常数增加一定百分比攻击(例~损失血量1000，+1000*0.1=增加攻击值),根据生命损失的常数增加一定百分比攻击(例~损失血量1000，+1000*0.1=增加攻击值),根據生命損失的常數增加一定百分比攻擊(例~損失血量1000，+1000*0.1=增加攻擊值),
根据友方数量，每人增加一定百分比攻击(例~队伍中除自己外有2名队友，每人可以给自己加5%攻击，2*0.05*自身攻击力=增加攻击值),根据友方数量，每人增加一定百分比攻击(例~队伍中除自己外有2名队友，每人可以给自己加5%攻击，2*0.05*自身攻击力=增加攻击值),根據友方數量，每人增加一定百分比攻擊(例~隊伍中除自己外有2名隊友，每人可以給自己加5%攻擊，2*0.05*自身攻擊力=增加攻擊值),
减少一定百分比攻击,减少一定百分比攻击,減少一定百分比攻擊,
护甲增加一定百分比,护甲增加一定百分比,護甲增加一定百分比,
护甲减少一定百分比,护甲减少一定百分比,護甲減少一定百分比,
根据已损失血量的常数，增加一定百分比护甲(例~损失血量1000，+1000*0.1=增加护甲值),根据已损失血量的常数，增加一定百分比护甲(例~损失血量1000，+1000*0.1=增加护甲值),根據已損失血量的常數，增加一定百分比護甲(例~損失血量1000，+1000*0.1=增加護甲值),
根据友方数量，每人增加一定百分比护甲(例~队伍中除自己外有2名队友，每人可以给自己加5%护甲，2*0.05*自身护甲=增加护甲值),根据友方数量，每人增加一定百分比护甲(例~队伍中除自己外有2名队友，每人可以给自己加5%护甲，2*0.05*自身护甲=增加护甲值),根據友方數量，每人增加一定百分比護甲(例~隊伍中除自己外有2名隊友，每人可以給自己加5%護甲，2*0.05*自身護甲=增加護甲值),
暴击值（常数）增加一定百分比,暴击值（常数）增加一定百分比,暴擊值（常數）增加一定百分比,
闪避值（常数）增加一定百分比,闪避值（常数）增加一定百分比,閃避值（常數）增加一定百分比,
命中值（常数）增加一定百分比,命中值（常数）增加一定百分比,命中值（常數）增加一定百分比,
dot伤害/毒性，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,dot伤害/毒性，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,dot傷害/毒性，根據釋放方攻擊按一定百分比(自身攻擊力百分比)扣血,
dot伤害/献祭，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,dot伤害/献祭，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,dot傷害/獻祭，根據釋放方攻擊按一定百分比(自身攻擊力百分比)扣血,
dot伤害/流血，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,dot伤害/流血，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,dot傷害/流血，根據釋放方攻擊按一定百分比(自身攻擊力百分比)扣血,
收到的实际伤害按照一定百分比减少,收到的实际伤害按照一定百分比减少,收到的實際傷害按照一定百分比減少,
吸血，按造成实际伤害的百分比吸血,吸血，按造成实际伤害的百分比吸血,吸血，按造成實際傷害的百分比吸血,
人形怪利刃普攻,人形怪利刃普攻,人形怪利刃普攻,
人形怪钝器普攻,人形怪钝器普攻,人形怪鈍器普攻,
人形怪弓弩普攻,人形怪弓弩普攻,人形怪弓弩普攻,
人形怪手枪普攻,人形怪手枪普攻,人形怪手槍普攻,
人形怪步枪普攻,人形怪步枪普攻,人形怪步槍普攻,
人形怪重武器普攻,人形怪重武器普攻,人形怪重武器普攻,
人形怪狙击枪普攻,人形怪狙击枪普攻,人形怪狙擊槍普攻,
人形怪霰弹枪普攻,人形怪霰弹枪普攻,人形怪霰彈槍普攻,
开启签到对话1,开启签到对话1,開啟簽到對話1,
空手普通攻击,空手普通攻击,空手普通攻擊,
狙击枪类普通攻击,狙击枪类普通攻击,狙擊槍類普通攻擊,
霰弹枪类普通攻击,霰弹枪类普通攻击,霰彈槍類普通攻擊,
人形怪手枪类普攻,人形怪手枪类普攻,人形怪手槍類普攻,
活死人僵尸怪普攻,活死人僵尸怪普攻,活死人僵屍怪普攻,
boss荆棘失控者普攻,boss荆棘失控者普攻,boss荊棘失控者普攻,
人形怪手枪远程群攻,人形怪手枪远程群攻,人形怪手槍遠程群攻,
空手类普通攻击,空手类普通攻击,空手類普通攻擊,
主界面福利按钮,主界面福利按钮,主界面福利按鈕,
主界面商城按钮,主界面商城按钮,主界面商城按鈕,
治疗buff,治疗buff,治療buff,
反甲盾,反甲盾,反甲盾,
护盾,护盾,護盾,
攻击增加,攻击增加,攻擊增加,
攻击减少,攻击减少,攻擊減少,
防御增加,防御增加,防禦增加,
防御减少,防御减少,防禦減少,
攻速增加,攻速增加,攻速增加,
献祭，燃烧，红色的火焰燃烧特效,献祭，燃烧，红色的火焰燃烧特效,獻祭，燃燒，紅色的火焰燃燒特效,
中毒,中毒,中毒,
无敌盾,无敌盾,無敵盾,
眩晕,眩晕,眩暈,
睡眠,睡眠,睡眠,
冰冻特效,冰冻特效,冰凍特效,
通用受击飙血,通用受击飙血,通用受擊飆血,
通用橙色受击飙血,通用橙色受击飙血,通用橙色受擊飆血,
通用红色受击飙血,通用红色受击飙血,通用紅色受擊飆血,
通用紫色受击飙血,通用紫色受击飙血,通用紫色受擊飆血,
蓝色闪电受击麻痹特效,蓝色闪电受击麻痹特效,藍色閃電受擊麻痹特效,
白色利刃横劈刀光,白色利刃横劈刀光,白色利刃橫劈刀光,
蓝色色利刃横劈刀光,蓝色色利刃横劈刀光,藍色色利刃橫劈刀光,
红色色利刃横劈刀光,红色色利刃横劈刀光,紅色色利刃橫劈刀光,
橘黄色竖直刀光,橘黄色竖直刀光,橘黃色豎直刀光,
蓝色竖直刀光,蓝色竖直刀光,藍色豎直刀光,
红色竖直刀光,红色竖直刀光,紅色豎直刀光,
紫色竖直刀光,紫色竖直刀光,紫色豎直刀光,
橘红色捅刺刀光,橘红色捅刺刀光,橘紅色捅刺刀光,
通用弓弩使用特效1-金色,通用弓弩使用特效1-金色,通用弓弩使用特效1-金色,
通用弓弩使用特效2-红色,通用弓弩使用特效2-红色,通用弓弩使用特效2-紅色,
通用弓弩使用特效3-蓝色,通用弓弩使用特效3-蓝色,通用弓弩使用特效3-藍色,
通用飞行道具流光特效3（毒）,通用飞行道具流光特效3（毒）,通用飛行道具流光特效3（毒）,
通用飞行道具流光特效4（火）,通用飞行道具流光特效4（火）,通用飛行道具流光特效4（火）,
蓝色飞行刀气,蓝色飞行刀气,藍色飛行刀氣,
橘红色飞行刀气,橘红色飞行刀气,橘紅色飛行刀氣,
毒子弹,毒子弹,毒子彈,
通用枪械子弹,通用枪械子弹,通用槍械子彈,
冰子弹,冰子弹,冰子彈,
电子弹，魔法球,电子弹，魔法球,電子彈，魔法球,
橘黄色子弹流光效果,橘黄色子弹流光效果,橘黃色子彈流光效果,
冰魔法球，做得不对,冰魔法球，做得不对,冰魔法球，做得不對,
发射特效，做错了,发射特效，做错了,發射特效，做錯了,
橘黄色子弹流光效果-填补错误特效空档,橘黄色子弹流光效果-填补错误特效空档,橘黃色子彈流光效果-填補錯誤特效空檔,
白色，粉色的枪口发射特效,白色，粉色的枪口发射特效,白色，粉色的槍口發射特效,
橘黄色的弹幕效果,橘黄色的弹幕效果,橘黃色的彈幕效果,
通用枪口，弓口冒烟特效,通用枪口，弓口冒烟特效,通用槍口，弓口冒煙特效,
银白色的枪口发射特效,银白色的枪口发射特效,銀白色的槍口發射特效,
黄色枪口发射的中型火花特效，做的细长一些，与大型的射击火花有明显区分,黄色枪口发射的中型火花特效，做的细长一些，与大型的射击火花有明显区分,黃色槍口發射的中型火花特效，做的細長一些，與大型的射擊火花有明顯區分,
白色枪口发射的中型火花特效,白色枪口发射的中型火花特效,白色槍口發射的中型火花特效,
深黄色枪口发射的大型火花特效，比中型的射击火花有明显区分，夸张一些,深黄色枪口发射的大型火花特效，比中型的射击火花有明显区分，夸张一些,深黃色槍口發射的大型火花特效，比中型的射擊火花有明顯區分，誇張一些,
治疗释放,治疗释放,治療釋放,
橘黄色的爆炸效果,橘黄色的爆炸效果,橘黃色的爆炸效果,
橘黄色的蘑菇云型的定点爆发特效,橘黄色的蘑菇云型的定点爆发特效,橘黃色的蘑菇雲型的定點爆發特效,
践踏，地裂特效，有棕褐色的地裂效果,践踏，地裂特效，有棕褐色的地裂效果,踐踏，地裂特效，有棕褐色的地裂效果,
蓝色波纹特效,蓝色波纹特效,藍色波紋特效,
大范围长距离白色刀光刀光,大范围长距离白色刀光刀光,大範圍長距離白色刀光刀光,
粉色或紫色的星星粒子特效,粉色或紫色的星星粒子特效,粉色或紫色的星星粒子特效,
红色的星星粒子特效，攻击提升buff,红色的星星粒子特效，攻击提升buff,紅色的星星粒子特效，攻擊提升buff,
黄色烟雾特效叠加黄色十字粒子效果,黄色烟雾特效叠加黄色十字粒子效果,黃色煙霧特效疊加黃色十字粒子效果,
红色烟雾特效叠加红色十字粒子效果,红色烟雾特效叠加红色十字粒子效果,紅色煙霧特效疊加紅色十字粒子效果,
橘红色直线激光,橘红色直线激光,橘紅色直線激光,
被灼烧的烟雾粒子特效,被灼烧的烟雾粒子特效,被灼燒的煙霧粒子特效,
蓝色聚气,蓝色聚气,藍色聚氣,
绿色聚气特效,绿色聚气特效,綠色聚氣特效,
黄色聚气特效,黄色聚气特效,黃色聚氣特效,
红色群体buff（类似魔法阵）的特效，要多一些科技感或写实感，比如多一些六边形元素或者烟雾效果,红色群体buff（类似魔法阵）的特效，要多一些科技感或写实感，比如多一些六边形元素或者烟雾效果,紅色群體buff（類似魔法陣）的特效，要多一些科技感或寫實感，比如多一些六邊形元素或者煙霧效果,
毒瓶液体爆炸特效,毒瓶液体爆炸特效,毒瓶液體爆炸特效,
蓝色或黄色或银白色的光波特效,蓝色或黄色或银白色的光波特效,藍色或黃色或銀白色的光波特效,
受击特效，颜色与释放特效一致,受击特效，颜色与释放特效一致,受擊特效，顏色與釋放特效一致,
银白色或黄色或红色的爪形特效,银白色或黄色或红色的爪形特效,銀白色或黃色或紅色的爪形特效,
黄色的地雷形状的定点特效,黄色的地雷形状的定点特效,黃色的地雷形狀的定點特效,
黄色沙尘粒子特效,黄色沙尘粒子特效,黃色沙塵粒子特效,
黄褐色的大型群体烟雾效果,黄褐色的大型群体烟雾效果,黃褐色的大型群體煙霧效果,
大一些黄色星星受击特效,大一些黄色星星受击特效,大一些黃色星星受擊特效,
从上到下的黄色闪电,从上到下的黄色闪电,從上到下的黃色閃電,
燃烧,燃烧,燃燒,
白色爆发特效,白色爆发特效,白色爆發特效,
怒气值满时，战斗界面的卡牌周边会冒出火焰,怒气值满时，战斗界面的卡牌周边会冒出火焰,怒氣值滿時，戰鬥界面的卡牌周邊會冒出火焰,
获得奖励，奖励道具的后面有光效和星星四散开的效果,获得奖励，奖励道具的后面有光效和星星四散开的效果,獲得獎勵，獎勵道具的後面有光效和星星四散開的效果,
获得奖励，播放完道具后面的光效爆炸和星星四散开的特效后，道具后面需要循环播放转圈的金光特效,获得奖励，播放完道具后面的光效爆炸和星星四散开的特效后，道具后面需要循环播放转圈的金光特效,獲得獎勵，播放完道具後面的光效爆炸和星星四散開的特效後，道具後面需要循環播放轉圈的金光特效,
获得奖励后，高品质后面会有一个绿色（颜色我们可调）光晕效果，光晕中会有绿色（颜色我们可调）的粒子往外随机飞散，特效为循环播放的,获得奖励后，高品质后面会有一个绿色（颜色我们可调）光晕效果，光晕中会有绿色（颜色我们可调）的粒子往外随机飞散，特效为循环播放的,獲得獎勵後，高品質後面會有一個綠色（顏色我們可調）光暈效果，光暈中會有綠色（顏色我們可調）的粒子往外隨機飛散，特效為循環播放的,
获得道具背景特效,获得道具背景特效,獲得道具背景特效,
向上飞的黄色粒子特效，怒气满时的特效,向上飞的黄色粒子特效，怒气满时的特效,向上飛的黃色粒子特效，怒氣滿時的特效,
获得道具的拖尾星星特效,获得道具的拖尾星星特效,獲得道具的拖尾星星特效,
制造流光特效,制造流光特效,製造流光特效,
进度条粒子特效,进度条粒子特效,進度條粒子特效,
家具升级特效,家具升级特效,家具升級特效,
场景黑烟特效,场景黑烟特效,場景黑煙特效,
空点击,空点击,空點擊,
引导点击特效,引导点击特效,引導點擊特效,
场景火焰特效,场景火焰特效,場景火焰特效,
蓝色子弹特效,蓝色子弹特效,藍色子彈特效,
绿色子弹特效,绿色子弹特效,綠色子彈特效,
大范围群体治疗特效,大范围群体治疗特效,大範圍群體治療特效,
职业技能聚气特效,职业技能聚气特效,職業技能聚氣特效,
蓝色聚气特效,蓝色聚气特效,藍色聚氣特效,
蓝色打击特效,蓝色打击特效,藍色打擊特效,
绿色打击特效,绿色打击特效,綠色打擊特效,
红色打击特效,红色打击特效,紅色打擊特效,
绿色刀光,绿色刀光,綠色刀光,
红色刀光,红色刀光,紅色刀光,
收取装备特效,收取装备特效,收取裝備特效,
空拳攻击特效,空拳攻击特效,空拳攻擊特效,
利刃攻击特效,利刃攻击特效,利刃攻擊特效,
棍棒攻击特效,棍棒攻击特效,棍棒攻擊特效,
弓箭攻击特效,弓箭攻击特效,弓箭攻擊特效,
手枪攻击特效,手枪攻击特效,手槍攻擊特效,
步枪攻击特效,步枪攻击特效,步槍攻擊特效,
霰弹枪攻击特效,霰弹枪攻击特效,霰彈槍攻擊特效,
狙击枪攻击特效,狙击枪攻击特效,狙擊槍攻擊特效,
重机枪攻击特效,重机枪攻击特效,重機槍攻擊特效,
空拳击中特效,空拳击中特效,空拳擊中特效,
利刃击中特效,利刃击中特效,利刃擊中特效,
棍棒击中特效,棍棒击中特效,棍棒擊中特效,
弓箭击中特效,弓箭击中特效,弓箭擊中特效,
手枪击中特效,手枪击中特效,手槍擊中特效,
步枪击中特效,步枪击中特效,步槍擊中特效,
霰弹枪击中特效,霰弹枪击中特效,霰彈槍擊中特效,
狙击枪击中特效,狙击枪击中特效,狙擊槍擊中特效,
重机枪击中特效,重机枪击中特效,重機槍擊中特效,
普通怪物空手攻击特效,普通怪物空手攻击特效,普通怪物空手攻擊特效,
BOSS怪空手攻击特效,BOSS怪空手攻击特效,BOSS怪空手攻擊特效,
BOSS怪释放技能特效,BOSS怪释放技能特效,BOSS怪釋放技能特效,
BOSS技能群体受击特效,BOSS技能群体受击特效,BOSS技能群體受擊特效,
钻石,钻石,鉆石,
费欧娜,费欧娜,費歐娜,
转盘开启等级,转盘开启等级,轉盤開啟等級,
市场开启等级,市场开启等级,市場開啟等級,
转盘最小稀有格子数量（普通+稀有+超稀有总数为18）,转盘最小稀有格子数量（普通+稀有+超稀有总数为18）,轉盤最小稀有格子數量（普通+稀有+超稀有總數為18）,
转盘最大稀有格子数量（普通+稀有+超稀有总数为18）,转盘最大稀有格子数量（普通+稀有+超稀有总数为18）,轉盤最大稀有格子數量（普通+稀有+超稀有總數為18）,
转盘最小超稀有格子数量（普通+稀有+超稀有总数为18）,转盘最小超稀有格子数量（普通+稀有+超稀有总数为18）,轉盤最小超稀有格子數量（普通+稀有+超稀有總數為18）,
转盘最大超稀有格子数量（普通+稀有+超稀有总数为18）,转盘最大超稀有格子数量（普通+稀有+超稀有总数为18）,轉盤最大超稀有格子數量（普通+稀有+超稀有總數為18）,
转盘免费抽取间隔时间（秒）,转盘免费抽取间隔时间（秒）,轉盤免費抽取間隔時間（秒）,
转盘重置价格/钻石,转盘重置价格/钻石,轉盤重置價格/鉆石,
转盘重置价格上涨倍率/100（需要向上取整）,转盘重置价格上涨倍率/100（需要向上取整）,轉盤重置價格上漲倍率/100（需要向上取整）,
重置封顶价格/钻石,重置封顶价格/钻石,重置封頂價格/鉆石,
转盘单次抽取价格/钻石,转盘单次抽取价格/钻石,轉盤單次抽取價格/鉆石,
转盘十连抽价格/钻石,转盘十连抽价格/钻石,轉盤十連抽價格/鉆石,
转盘十连抽消耗道具数量,转盘十连抽消耗道具数量,轉盤十連抽消耗道具數量,
转盘超稀有抽取全服记录累计数量,转盘超稀有抽取全服记录累计数量,轉盤超稀有抽取全服記錄累計數量,
转盘-自己的抽取记录条数,转盘-自己的抽取记录条数,轉盤-自己的抽取記錄條數,
顾客角色移动速度,顾客角色移动速度,顧客角色移動速度,
场景上扩建按钮显示等级,场景上扩建按钮显示等级,場景上擴建按鈕顯示等級,
买卖后自动弹出下个顾客的买卖界面需要店主等级（为了避免跟引导冲突）,买卖后自动弹出下个顾客的买卖界面需要店主等级（为了避免跟引导冲突）,買賣後自動彈出下個顧客的買賣界面需要店主等級（為了避免跟引導沖突）,
邮件问题上报发送间隔时间/秒,邮件问题上报发送间隔时间/秒,郵件問題上報發送間隔時間/秒,
顾客前来卖装备的等级，多少级前不出现,顾客前来卖装备的等级，多少级前不出现,顧客前來賣裝備的等級，多少級前不出現,
闲聊成功计算百分比,闲聊成功计算百分比,閑聊成功計算百分比,
闲聊失败计算百分比,闲聊失败计算百分比,閑聊失敗計算百分比,
商店扩建等级上限,商店扩建等级上限,商店擴建等級上限,
礼包商城开启等级,礼包商城开启等级,禮包商城開啟等級,
在线领奖显示等级,在线领奖显示等级,在線領獎顯示等級,
创角镜头移动动画,创角镜头移动动画,創角鏡頭移動動畫,
创角开关-包含世界观剧情（0-关闭/1开启）,创角开关-包含世界观剧情（0-关闭/1开启）,創角開關-包含世界觀劇情（0-關閉/1開啟）,
新手引导（0-关闭新手引导/1开启新手引导）,新手引导（0-关闭新手引导/1开启新手引导）,新手引導（0-關閉新手引導/1開啟新手引導）,
公会创建花费新币数量,公会创建花费新币数量,公會創建花費新幣數量,
公会创建花费金条数量,公会创建花费金条数量,公會創建花費金條數量,
公会开启等级,公会开启等级,公會開啟等級,
主界面每日任务按钮开启等级,主界面每日任务按钮开启等级,主界面每日任務按鈕開啟等級,
交易所是否开启回收机制0：不开—1：开启,交易所是否开启回收机制0：不开—1：开启,交易所是否開啟回收機製0：不開—1：開啟,
七日目标（大亨之路）显示等级,七日目标（大亨之路）显示等级,七日目標（大亨之路）顯示等級,
签到开启等级,签到开启等级,簽到開啟等級,
聊天开启等级,聊天开启等级,聊天開啟等級,
储蓄罐开启等级,储蓄罐开启等级,儲蓄罐開啟等級,
白色品质装备损毁概率（X/10000）,白色品质装备损毁概率（X/10000）,白色品質裝備損毀概率（X/10000）,
绿色品质装备损毁概率（X/10000）,绿色品质装备损毁概率（X/10000）,綠色品質裝備損毀概率（X/10000）,
蓝色品质装备损毁概率（X/10000）,蓝色品质装备损毁概率（X/10000）,藍色品質裝備損毀概率（X/10000）,
紫色品质装备损毁概率（X/10000）,紫色品质装备损毁概率（X/10000）,紫色品質裝備損毀概率（X/10000）,
橙色品质装备损毁概率（X/10000）,橙色品质装备损毁概率（X/10000）,橙色品質裝備損毀概率（X/10000）,
装备在店主多少级以前不破损,装备在店主多少级以前不破损,裝備在店主多少級以前不破損,
买卖界面补货按钮显示等级,买卖界面补货按钮显示等级,買賣界面補貨按鈕顯示等級,
主界面绑定按钮显示等级,主界面绑定按钮显示等级,主界面綁定按鈕顯示等級,
语言切换按钮是否可以点击-0-不可点击，1-可以点击,语言切换按钮是否可以点击-0-不可点击，1-可以点击,語言切換按鈕是否可以點擊-0-不可點擊，1-可以點擊,
商城界面每日特惠标签显示等级,商城界面每日特惠标签显示等级,商城界面每日特惠標簽顯示等級,
活跃度上限,活跃度上限,活躍度上限,
BUFF活动解锁等级,BUFF活动解锁等级,BUFF活動解鎖等級,
市场装备堆叠上限初始值,市场装备堆叠上限初始值,市場裝備堆疊上限初始值,
市场材料堆叠上限初始值,市场材料堆叠上限初始值,市場材料堆疊上限初始值,
市场使用金条挂售/求购/看到其它用户的金条挂单需要完成的成就ID,市场使用金条挂售/求购/看到其它用户的金条挂单需要完成的成就ID,市場使用金條掛售/求購/看到其它用戶的金條掛單需要完成的成就ID,
主线任务多少级以后不再出现手指显示,主线任务多少级以后不再出现手指显示,主線任務多少級以後不再出現手指顯示,
主线任务手指在未操作多少秒后出现,主线任务手指在未操作多少秒后出现,主線任務手指在未操作多少秒後出現,
制作界面上面标签栏显示需要装备解锁小类型达到数量（与163满足任意一个就显示）,制作界面上面标签栏显示需要装备解锁小类型达到数量（与163满足任意一个就显示）,製作界面上面標簽欄顯示需要裝備解鎖小類型達到數量（與163滿足任意一個就顯示）,
制作界面上面标签栏显示需要店主达到等级（与163满足任意一个就显示）,制作界面上面标签栏显示需要店主达到等级（与163满足任意一个就显示）,製作界面上面標簽欄顯示需要店主達到等級（與163滿足任意一個就顯示）,
主线任务是否开启-0~不开启-1~开启,主线任务是否开启-0~不开启-1~开启,主線任務是否開啟-0~不開啟-1~開啟,
停留主界面不打开其它界面的手指提醒间隔时间/S,停留主界面不打开其它界面的手指提醒间隔时间/S,停留主界面不打開其它界面的手指提醒間隔時間/S,
停留主界面不打开其它界面的手指提醒在店主多少级后不显示,停留主界面不打开其它界面的手指提醒在店主多少级后不显示,停留主界面不打開其它界面的手指提醒在店主多少級後不顯示,
宠物系统开启等级,宠物系统开启等级,寵物系統開啟等級,
宠物系统喂养冷却时间（秒）,宠物系统喂养冷却时间（秒）,寵物系統餵養冷卻時間（秒）,
免费喂养宠物获得成长点,免费喂养宠物获得成长点,免費餵養寵物獲得成長點,
新币喂养宠物获得成长点,新币喂养宠物获得成长点,新幣餵養寵物獲得成長點,
金条喂养宠物获得成长点,金条喂养宠物获得成长点,金條餵養寵物獲得成長點,
